SM_Name	SM_LINCS_ID	SM_Alternative_Name	SM_PubChem_CID	SM_InChI_Parent	SM_InChI_Key_Parent	SM_SMILES_Parent	SM_Center_Name	SM_Center_Canonical_ID	SM_Center_Batch_ID	SM_Provider_Name	SM_Provider_Catalog_ID	SM_Provider_Batch_ID	SM_Salt	SM_SMILES_Batch	SM_InChI_Batch	SM_InChI_Key_Batch	SM_Molecular_Mass	SM_Purity	SM_Purity_Method	SM_Aqueous_Solubility	SM_LogP
QL-XII-47	LSM-6019		71748056	InChI=1S/C27H21N5O2/c1-3-25(33)31-11-10-17-4-7-21(13-24(17)31)32-26(34)9-6-19-14-28-23-8-5-18(12-22(23)27(19)32)20-15-29-30(2)16-20/h3-9,12-16H,1,10-11H2,2H3		Cn1cc(cn1)c2ccc3ncc4C=CC(=O)N(c5ccc6CCN(C(=O)C=C)c6c5)c4c3c2		10077	10077-101-1	Nathanael Gray (DFCI)	QL-XII-47	QL-XII-47-1		O=C(N3C4=CC(N(C(C=C)=O)CC6)=C6C=C4)C=CC2=C3C1=CC(C5=CN(C)N=C5)=CC=C1N=C2			447.17				
Radicicol	LSM-43318	Monorden	6323491	InChI=1S/C18H17ClO6/c1-9-6-15-14(25-15)5-3-2-4-10(20)7-11-16(18(23)24-9)12(21)8-13(22)17(11)19/h2-5,8-9,14-15,21-22H,6-7H2,1H3/b4-2+,5-3-/t9-,14-,15-/m1/s1		C[C@@H]1C[C@H]2O[C@@H]2\C=C/C=C/C(=O)Cc3c(Cl)c(O)cc(O)c3C(=O)O1		10480	10480-101-1	Sigma	R2146			C[C@@H]1C[C@@H]2[C@H](O2)/C=C\C=C\C(=O)CC3=C(C(=CC(=C3Cl)O)O)C(=O)O1			364.07				
Roscovitine	LSM-1001	CYC202; Seliciclib	160355	InChI=1S/C19H26N6O/c1-4-15(11-26)22-19-23-17(20-10-14-8-6-5-7-9-14)16-18(24-19)25(12-21-16)13(2)3/h5-9,12-13,15,26H,4,10-11H2,1-3H3,(H2,20,22,23,24)/t15-/m1/s1		CC[C@H](CO)Nc1nc(NCc2ccccc2)c3ncn(C(C)C)c3n1		10001	10001-101-1	Haoyuan chemexpress	HY-30237	HM-001_TM-20090805		CC(N1C=NC2=C1N=C(N[C@H](CC)CO)N=C2NCC3=CC=CC=C3)C			354.22				
ruxolitinib	LSM-1139		25126798	InChI=1S/C17H18N6/c18-7-5-15(12-3-1-2-4-12)23-10-13(9-22-23)16-14-6-8-19-17(14)21-11-20-16/h6,8-12,15H,1-5H2,(H,19,20,21)/t15-/m1/s1		N#CC[C@H](C1CCCC1)n2cc(cn2)c3ncnc4[nH]ccc34		10138	10138-105-1	Haoyuan chemexpress	HY-50858	n/a		OP(O)(O)=O.N#CC[C@@H](N1C=C(C2=C3C=CNC3=NC=N2)C=N1)C4CCCC4			306.16				
XL147	LSM-1149	SAR245408	52914932	InChI=1S/C21H16N6O2S2/c1-13-9-11-14(12-10-13)31(28,29)27-21-20(22-15-5-2-3-6-16(15)23-21)24-17-7-4-8-18-19(17)26-30-25-18/h2-12H,1H3,(H,22,24)(H,23,27)		Cc1ccc(cc1)S(=O)(=O)Nc2nc3ccccc3nc2Nc4cccc5nsnc45		10148	10148-101-1	Haoyuan chemexpress	HY-11105	n/a		CC1=CC=C(C=C1)S(=O)(=O)NC2=NC3=CC=CC=C3N=C2NC4=CC=CC5=NSN=C54			448.08				
Saracatinib	LSM-1032	AZD0530	10302451	InChI=1S/C27H32ClN5O5/c1-32-6-8-33(9-7-32)10-13-35-19-14-21-24(23(15-19)38-18-4-11-34-12-5-18)27(30-16-29-21)31-25-20(28)2-3-22-26(25)37-17-36-22/h2-3,14-16,18H,4-13,17H2,1H3,(H,29,30,31)		CN1CCN(CCOc2cc(OC3CCOCC3)c4c(Nc5c(Cl)ccc6OCOc56)ncnc4c2)CC1		10032	10032-101-1	Haoyuan chemexpress	HY-10234	HY-999-20100409		ClC(C=CC4=C3OCO4)=C3NC2=NC=NC1=CC(OCCN6CCN(C)CC6)=CC(OC5CCOCC5)=C12			541.21				
Selumetinib	LSM-1056	AZD6244; Array142886	10127622	InChI=1S/C17H15BrClFN4O3/c1-24-8-21-16-13(24)7-10(17(26)23-27-5-4-25)15(14(16)20)22-12-3-2-9(18)6-11(12)19/h2-3,6-8,22,25H,4-5H2,1H3,(H,23,26)		Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(cc12)C(=O)NOCCO		10056	10056-101-1	Haoyuan chemexpress	HY-50706	HM-023_9-20101129		O=C(NOCCO)C1=C(NC2=CC=C(Br)C=C2Cl)C(F)=C3C(N(C)C=N3)=C1			456.00				
Rapamycin	LSM-1052	Sirolimus	5040	InChI=1S/C51H79NO13/c1-30-16-12-11-13-17-31(2)42(61-8)28-38-21-19-36(7)51(60,65-38)48(57)49(58)52-23-15-14-18-39(52)50(59)64-43(33(4)26-37-20-22-40(53)44(27-37)62-9)29-41(54)32(3)25-35(6)46(56)47(63-10)45(55)34(5)24-30/h11-13,16-17,25,30,32-34,36-40,42-44,46-47,53,56,60H,14-15,18-24,26-29H2,1-10H3		COC1CC(CC(C)C2CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C(C)C(CC3CCC(C)C(O)(O3)C(=O)C(=O)N4CCCCC4C(=O)O2)OC)CCC1O		10052	10052-101-1	Haoyuan chemexpress	HY-10219	HM-039-20100323		CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC			913.56				
Sorafenib	LSM-1008	BAY-439006	216239	InChI=1S/C21H16ClF3N4O3/c1-26-19(30)18-11-15(8-9-27-18)32-14-5-2-12(3-6-14)28-20(31)29-13-4-7-17(22)16(10-13)21(23,24)25/h2-11H,1H3,(H,26,30)(H2,28,29,31)		CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1		10008	10008-101-1	LC-labs	S-8599	SFB-102		CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F			464.09				
SU11274	LSM-42791	PKI-SU11274	52911310	InChI=1S/C28H30ClN5O4S/c1-17-25(30-18(2)26(17)28(36)34-12-10-32(3)11-13-34)16-23-22-15-21(8-9-24(22)31-27(23)35)39(37,38)33(4)20-7-5-6-19(29)14-20/h5-9,14-16,30H,10-13H2,1-4H3,(H,31,35)/b23-16+		CN(c1cccc(Cl)c1)S(=O)(=O)c2ccc3NC(=O)\C(=C\c4[nH]c(C)c(C(=O)N5CCN(C)CC5)c4C)\c3c2		10119	10119-101-1	Haoyuan chemexpress	HY-12014	n/a		O=S(C1=CC2=C(NC(/C2=C/C3=C(C)C(C(N4CCN(C)CC4)=O)=C(C)N3)=O)C=C1)(N(C5=CC=CC(Cl)=C5)C)=O			567.17				
TG101348	LSM-1142		16722836	InChI=1S/C27H36N6O3S/c1-20-19-28-26(30-21-10-12-23(13-11-21)36-17-16-33-14-5-6-15-33)31-25(20)29-22-8-7-9-24(18-22)37(34,35)32-27(2,3)4/h7-13,18-19,32H,5-6,14-17H2,1-4H3,(H2,28,29,30,31)		Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc4cccc(c4)S(=O)(=O)NC(C)(C)C		10141	10141-101-1	Haoyuan chemexpress	HY-10409	n/a		CC1=CN=C(N=C1NC2=CC(=CC=C2)S(=O)(=O)NC(C)(C)C)NC3=CC=C(C=C3)OCCN4CCCC4			524.26				
TGX221	LSM-1172		9907093	InChI=1S/C21H24N4O2/c1-15-12-18(16(2)22-17-6-4-3-5-7-17)21-23-19(13-20(26)25(21)14-15)24-8-10-27-11-9-24/h3-7,12-14,16,22H,8-11H2,1-2H3		CC(Nc1ccccc1)C2=CC(=CN3C(=O)C=C(N=C23)N4CCOCC4)C		10171	10171-101-1	Haoyuan chemexpress	HY-10114	n/a		CC1=CN2C(=O)C=C(N=C2C(=C1)C(C)NC3=CC=CC=C3)N4CCOCC4			364.19				
Torin1	LSM-1079		49836027	InChI=1S/C35H28F3N5O2/c1-2-32(44)42-15-13-41(14-16-42)31-11-9-26(19-28(31)35(36,37)38)43-33(45)12-8-24-20-40-30-10-7-22(18-27(30)34(24)43)25-17-23-5-3-4-6-29(23)39-21-25/h3-12,17-21H,2,13-16H2,1H3		CCC(=O)N1CCN(CC1)c2ccc(cc2C(F)(F)F)N3C(=O)C=Cc4cnc5ccc(cc5c34)c6cnc7ccccc7c6		10079	10079-101-1	Nathanael Gray (DFCI)	Torin1	Torin1-1		O=C1N(C2=CC(C(F)(F)F)=C(N3CCN(C(CC)=O)CC3)C=C2)C4=C(C=C1)C=NC5=CC=C(C6=CN=C(C=CC=C7)C7=C6)C=C54			607.22				
Torin2	LSM-1080		51358113	InChI=1S/C24H15F3N4O/c25-24(26,27)17-2-1-3-18(11-17)31-22(32)9-6-16-13-29-20-7-4-14(10-19(20)23(16)31)15-5-8-21(28)30-12-15/h1-13H,(H2,28,30)		Nc1ccc(cn1)c2ccc3ncc4C=CC(=O)N(c5cccc(c5)C(F)(F)F)c4c3c2		10080	10080-101-1	Nathanael Gray (DFCI)	Torin2	Torin2-1		O=C(N3C4=CC(C(F)(F)F)=CC=C4)C=CC2=C3C1=CC(C5=CN=C(N)C=C5)=CC=C1N=C2			432.12				
Tozasertib	LSM-1021	VX680; MK-0457	5494449	InChI=1S/C23H28N8OS/c1-15-13-20(29-28-15)25-19-14-21(31-11-9-30(2)10-12-31)27-23(26-19)33-18-7-5-17(6-8-18)24-22(32)16-3-4-16/h5-8,13-14,16H,3-4,9-12H2,1-2H3,(H,24,32)(H2,25,26,27,28,29)		CN1CCN(CC1)c2cc(Nc3cc(C)[nH]n3)nc(Sc4ccc(NC(=O)C5CC5)cc4)n2		10021	10021-101-1	Haoyuan chemexpress	HY-10161	HY-999-20091112		CC1=NNC(NC2=NC(SC4=CC=C(NC(C5CC5)=O)C=C4)=NC(N3CCN(C)CC3)=C2)=C1			464.21				
Trametinib	LSM-1143	GSK-1120212; GSK1120212; GSK1120212B; JTP-74057	11707110	InChI=1S/C26H23FIN5O4/c1-13-22-21(23(31(3)24(13)35)30-20-10-7-15(28)11-19(20)27)25(36)33(17-8-9-17)26(37)32(22)18-6-4-5-16(12-18)29-14(2)34/h4-7,10-12,17,30H,8-9H2,1-3H3,(H,29,34)		CN1C(=O)C(=C2N(C(=O)N(C3CC3)C(=O)C2=C1Nc4ccc(I)cc4F)c5cccc(NC(=O)C)c5)C		10142	10142-101-1	Haoyuan chemexpress	HY-10999	n/a		CC(NC1=CC=CC(N(C(C(C(N2C3CC3)=O)=C(NC4=CC=C(I)C=C4F)N5C)=C(C)C5=O)C2=O)=C1)=O			615.08				
TWS119	LSM-1111		9549289	InChI=1S/C18H14N4O2/c19-12-4-1-3-11(7-12)16-9-15-17(22-16)20-10-21-18(15)24-14-6-2-5-13(23)8-14/h1-10,23H,19H2,(H,20,21,22)		Nc1cccc(c1)c2cc3c(Oc4cccc(O)c4)ncnc3[nH]2		10111	10111-101-1	Tocris	3835	n/a		C1=CC(=CC(=C1)N)C2=CC3=C(N2)N=CN=C3OC4=CC=CC(=C4)O			318.11				
vemurafenib	LSM-1068	PLX4032; RG7204; R7204; RO5185426	42611257	InChI=1S/C23H18ClF2N3O3S/c1-2-9-33(31,32)29-19-8-7-18(25)20(21(19)26)22(30)17-12-28-23-16(17)10-14(11-27-23)13-3-5-15(24)6-4-13/h3-8,10-12,29H,2,9H2,1H3,(H,27,28)		CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(cc23)c4ccc(Cl)cc4)c1F		10068	10068-101-1	Haoyuan chemexpress	HY-12057			ClC(C=C3)=CC=C3C1=CN=C(NC=C2C(C4=C(F)C(NS(CCC)(=O)=O)=CC=C4F)=O)C2=C1			489.07				
Withaferin A	LSM-6685	NSC 273757; NSC-101088	265237	InChI=1S/C28H38O6/c1-14-11-21(33-25(32)17(14)13-29)15(2)18-5-6-19-16-12-24-28(34-24)23(31)8-7-22(30)27(28,4)20(16)9-10-26(18,19)3/h7-8,15-16,18-21,23-24,29,31H,5-6,9-13H2,1-4H3/t15-,16-,18+,19-,20-,21+,23-,24+,26+,27-,28+/m0/s1		C[C@H]([C@H]1CC(=C(CO)C(=O)O1)C)[C@H]2CC[C@H]3[C@@H]4C[C@H]5O[C@]56[C@@H](O)C=CC(=O)[C@]6(C)[C@H]4CC[C@]23C		10481	10481-101-1	Tocris	2816	090M1422		CC1=C(C(=O)O[C@H](C1)[C@@H](C)[C@H]2CC[C@@H]3[C@@]2(CC[C@H]4[C@H]3C[C@@H]5[C@]6([C@@]4(C(=O)C=C[C@@H]6O)C)O5)C)CO			470.27				
WYE-125132	LSM-1064		25260757	InChI=1S/C27H33N7O4/c1-28-26(35)30-18-4-2-17(3-5-18)23-31-24(33-15-20-6-7-21(16-33)38-20)22-14-29-34(25(22)32-23)19-8-10-27(11-9-19)36-12-13-37-27/h2-5,14,19-21H,6-13,15-16H2,1H3,(H2,28,30,35)		CNC(=O)Nc1ccc(cc1)c2nc(N3CC4CCC(C3)O4)c5cnn(C6CCC7(CC6)OCCO7)c5n2		10064	10064-101-1	Haoyuan chemexpress	HY-10044	HM-057_16-20100825		O=C(NC7=CC=C(C=C7)C1=NC(N3CC2OC(C3)CC2)=C6C(N(N=C6)C4CCC5(OCCO5)CC4)=N1)NC			519.26				
WZ3105	LSM-5970			InChI=1S/C25H34N8O/c1-6-21(34)27-18-8-7-9-19(14-18)28-23-22-24(33(15-26-22)16(2)3)31-25(30-23)29-17-10-12-20(13-11-17)32(4)5/h6-9,14-17,20H,1,10-13H2,2-5H3,(H,27,34)(H2,28,29,30,31)		CC(C)n1cnc2c(Nc3cccc(NC(=O)C=C)c3)nc(N[C@@H]4CC[C@H](CC4)N(C)C)nc12		10084	10084-101-1	Nathanael Gray (DFCI)	WZ3105	WZ3105-1		CC(C)N1C2=NC(N[C@@H]3CC[C@@H](N(C)C)CC3)=NC(NC4=CC=CC(NC(C=C)=O)=C4)=C2N=C1			462.29				
XMD11-50	LSM-1086	LRRK2-in-1	46843906	InChI=1S/C31H38N8O3/c1-35-15-17-38(18-16-35)22-11-13-39(14-12-22)29(40)21-9-10-24(27(19-21)42-4)33-31-32-20-26-28(34-31)36(2)25-8-6-5-7-23(25)30(41)37(26)3/h5-10,19-20,22H,11-18H2,1-4H3,(H,32,33,34)		COc1cc(ccc1Nc2ncc3N(C)C(=O)c4ccccc4N(C)c3n2)C(=O)N5CCC(CC5)N6CCN(C)CC6		10086	10086-101-1	Nathanael Gray (DFCI)	XMD11-50	XMD11-50-1		O=C1C2=C(C=CC=C2)N(C)C3=NC(NC4=C(OC)C=C(C(N5CCC(N6CCN(C)CC6)CC5)=O)C=C4)=NC=C3N1C			570.31				
Y39983	LSM-1150		9810884	InChI=1S/C16H16N4O/c1-10(17)11-2-4-12(5-3-11)16(21)20-14-7-9-19-15-13(14)6-8-18-15/h2-10H,17H2,1H3,(H2,18,19,20,21)/t10-/m1/s1		C[C@@H](N)c1ccc(cc1)C(=O)Nc2ccnc3[nH]ccc23		10149	10149-102-1	Haoyuan chemexpress	HY-50947	n/a		Cl[H].Cl[H].C[C@@H](N)C1=CC=C(C=C1)C(=O)NC1=C2C=CNC2=NC=C1			280.13				
YM 201636	LSM-1109	Kin001-170	9956222	InChI=1S/C25H21N7O3/c26-19-7-6-16(14-28-19)24(33)29-17-4-1-3-15(13-17)22-30-20-18-5-2-8-27-25(18)35-21(20)23(31-22)32-9-11-34-12-10-32/h1-8,13-14H,9-12H2,(H2,26,28)(H,29,33)		Nc1ccc(cn1)C(=O)Nc2cccc(c2)c3nc(N4CCOCC4)c5oc6ncccc6c5n3		10109	10109-101-1	Cayman Chemical	13576	n/a		O=C(C1=CC=C(N)N=C1)NC2=CC(C3=NC4=C(OC5=C4C=CC=N5)C(N6CCOCC6)=N3)=CC=C2			467.17				
ZSTK474	LSM-1053		11647372	InChI=1S/C19H21F2N7O2/c20-15(21)16-22-13-3-1-2-4-14(13)28(16)19-24-17(26-5-9-29-10-6-26)23-18(25-19)27-7-11-30-12-8-27/h1-4,15H,5-12H2		FC(F)c1nc2ccccc2n1c3nc(nc(n3)N4CCOCC4)N5CCOCC5		10053	10053-101-1	Haoyuan chemexpress	HY-50847	HM-014_TM-20090904		FC(F)C1=NC2=C(C=CC=C2)N1C3=NC(N4CCOCC4)=NC(N5CCOCC5)=N3			417.17				
